unitid,al01c01,al01c02,al01c03,al01c04,al02c01,al02c02,al02c03,al02c04,al03c03,al03c04,al04c01,al04c02,al04c03,al04c04,al05c01,al05c02,al05c03,al05c04,al06c01,al06c02,al06c03,al06c04,al07c01,al07c02,al07c03,al07c04,al08c01,al08c02,al08c03,al08c04,rptc01,rptc02,rptc03,rptc04,bl01,bl02,bl03,bl04,bl05,"xl01c01","xl01c02","xl01c03","xl01c04","xl02c01","xl02c02","xl02c03","xl02c04","xl03c03","xl03c04","xl04c01","xl04c02","xl04c03","xl04c04","xl05c01","xl05c02","xl05c03","xl05c04","xl06c01","xl06c02","xl06c03","xl06c04","xl07c01","xl07c02","xl07c03","xl07c04","xl08c01","xl08c02","xl08c03","xl08c04","xgenc01","xgenc02","xgenc03","xgenc04"
101709,13,13,,,89,54,18,25,,,16,18,4,4,12,9,1,1,3,70,,10,29,1,,,17,21,,,179,186,23,40,,1,1,1,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101718,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
101736,6,,,,27,18,32,19,,,6,5,1,,3,,,,,23,1,6,,,,,11,1,1,2,53,47,35,27,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101806,3,2,,,7,3,1,1,,,6,3,,,,,,,2,9,4,2,,,,,,,,,18,17,5,3,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101879,11,1,,,130,60,23,15,,,37,27,,1,11,5,,,1,80,,2,20,3,2,,54,22,2,1,264,198,27,19,,,1,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101888,2,1,0,0,14,10,19,17,0,0,1,2,0,0,1,2,0,1,0,8,0,3,1,0,0,0,3,1,0,0,22,24,19,21,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
101897,4,,,,12,16,12,10,,,8,7,1,2,,,1,,,8,,,,,,,5,1,1,,29,32,15,12,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101903,4,1,,,29,24,6,3,,,9,4,,,1,15,,,,17,,3,,,,,4,2,,,47,63,6,6,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101912,17,14,0,1,62,27,33,21,7,4,22,34,3,8,8,12,1,2,5,56,2,12,9,0,0,0,22,15,5,4,145,158,51,52,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
101921,3,,,,12,9,3,7,,,2,1,,,1,1,2,,,6,,,,,,,3,4,9,1,21,21,14,8,1,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101949,3,,,,11,10,,1,,,4,8,2,1,,,,,,10,,2,,,,,3,,,3,21,28,2,7,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
